지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,Feb-97,0.7,5.6,15.1,1997-02-27,-3.5,-8.1,1997-02-03
108,서울,Mar-97,6.8,11.8,20.2,1997-03-13,2.5,-4.3,1997-03-03
108,서울,Apr-97,13,18.1,22.3,1997-04-20,8.4,2.7,1997-04-01
108,서울,May-97,17,21.5,27.9,1997-05-05,12.9,8.8,1997-05-09
108,서울,Jun-97,23.4,28.5,35,1997-06-15,18.9,12.4,1997-06-02
108,서울,Jul-97,26.1,30.1,36.1,1997-07-26,22.8,18.1,1997-07-07
108,서울,Aug-97,26.8,31.3,34.1,1997-08-08,23.2,19.6,1997-08-05
108,서울,Sep-97,20.2,25.4,31.9,1997-09-06,15.7,10.3,1997-09-22
108,서울,Oct-97,13.4,19,26.3,1997-10-02,8.2,-2,1997-10-31
108,서울,Nov-97,8.8,13.7,20.2,1997-11-11,4.6,-3.2,1997-11-19
108,서울,Dec-97,1.8,5.7,12.8,1997-12-19,-1.8,-11.3,1997-12-10
108,서울,Jan-98,-1.3,2.8,8.2,1998-01-03,-4.7,-15.4,1998-01-24
108,서울,Feb-98,3.4,7.8,15,1998-02-25,-0.6,-7.7,1998-02-10
